Product Category,Product Price,Returns,Return_Risk
Home,250,1.0,0.79
Books,348,1.0,0.85
Books,232,1.0,0.84
Home,400,1.0,0.88
Books,405,1.0,0.87
Home,227,1.0,0.82
Clothing,285,1.0,0.82
Electronics,53,1.0,0.82
Clothing,485,1.0,0.79
Home,355,1.0,0.9
Home,370,1.0,0.86
Clothing,380,1.0,0.72
Home,365,1.0,0.82
Electronics,394,1.0,0.87
Books,362,1.0,0.81
Home,448,1.0,0.8
Books,197,1.0,0.79
Clothing,250,1.0,0.81
Books,401,1.0,0.82
Books,164,1.0,0.87
Home,136,1.0,0.76
Home,291,1.0,0.79
Clothing,265,1.0,0.83
Books,18,1.0,0.82
Electronics,389,1.0,0.81
Clothing,177,1.0,0.83
Clothing,386,1.0,0.93
Home,371,1.0,0.8
Clothing,392,1.0,0.76
Electronics,486,1.0,0.86
Books,332,1.0,0.81
Clothing,127,1.0,0.85
Clothing,79,1.0,0.88
Electronics,348,1.0,0.89
Home,90,1.0,0.8
Home,39,1.0,0.71
Books,404,1.0,0.85
Electronics,409,1.0,0.86
Clothing,86,1.0,0.74
Books,151,1.0,0.8
Electronics,69,1.0,0.79
Clothing,450,1.0,0.86
Books,393,1.0,0.84
Books,184,1.0,0.84
Clothing,416,1.0,0.83
Clothing,341,1.0,0.86
Home,314,1.0,0.74
Electronics,353,1.0,0.82
Electronics,370,1.0,0.83
Home,355,1.0,0.73
Electronics,325,1.0,0.85
Electronics,384,1.0,0.86
Electronics,168,1.0,0.82
Books,425,1.0,0.86
Electronics,428,1.0,0.83
Books,108,1.0,0.83
Books,87,1.0,0.89
Electronics,465,1.0,0.82
Books,346,1.0,0.76
Clothing,35,1.0,0.81
Books,382,1.0,0.75
Home,349,1.0,0.83
Clothing,36,1.0,0.8
Books,315,1.0,0.82
Home,435,1.0,0.78
Books,209,1.0,0.76
Books,380,1.0,0.79
Electronics,296,1.0,0.78
Clothing,421,1.0,0.83
Books,261,1.0,0.87
Books,346,1.0,0.84
Clothing,493,1.0,0.84
Clothing,468,1.0,0.76
Clothing,318,1.0,0.82
Electronics,103,1.0,0.88
Home,428,1.0,0.81
Home,442,1.0,0.77
Electronics,243,1.0,0.88
Books,185,1.0,0.76
Books,354,1.0,0.74
Home,81,1.0,0.79
Electronics,266,1.0,0.71
Clothing,41,1.0,0.78
Clothing,40,1.0,0.81
Books,498,1.0,0.88
Books,301,1.0,0.86
Clothing,477,1.0,0.81
Books,318,1.0,0.8
Clothing,248,1.0,0.83
Clothing,414,1.0,0.84
Home,382,1.0,0.78
Clothing,303,1.0,0.8
Electronics,298,1.0,0.73
Clothing,101,1.0,0.76
Books,216,1.0,0.82
Home,15,1.0,0.87
Books,354,1.0,0.83
Home,372,1.0,0.89
Clothing,143,1.0,0.77
Clothing,436,1.0,0.83
Books,200,1.0,0.82
Clothing,149,1.0,0.86
Home,43,1.0,0.86
Books,278,1.0,0.91
Books,445,1.0,0.8
Clothing,108,1.0,0.83
Home,164,1.0,0.77
Home,34,1.0,0.72
Books,162,1.0,0.81
Books,11,1.0,0.85
Clothing,253,1.0,0.85
Books,117,1.0,0.81
Clothing,65,1.0,0.73
Books,81,1.0,0.77
Books,143,1.0,0.88
Electronics,230,1.0,0.77
Books,42,1.0,0.82
Books,381,1.0,0.84
Clothing,427,1.0,0.83
Books,37,1.0,0.81
Clothing,319,1.0,0.87
Home,42,1.0,0.82
Home,282,1.0,0.83
Books,54,1.0,0.81
Electronics,483,1.0,0.76
Clothing,348,1.0,0.8
Books,249,1.0,0.94
Electronics,119,1.0,0.84
Clothing,315,1.0,0.88
Clothing,12,1.0,0.87
Books,83,1.0,0.83
Home,238,1.0,0.79
Books,412,1.0,0.79
Books,389,1.0,0.83
Clothing,62,1.0,0.72
Clothing,300,1.0,0.78
Clothing,68,1.0,0.87
Electronics,457,1.0,0.81
Clothing,349,1.0,0.74
Books,31,1.0,0.85
Electronics,64,1.0,0.84
Books,319,1.0,0.77
Home,394,1.0,0.75
Electronics,329,1.0,0.77
Books,119,1.0,0.89
Clothing,368,1.0,0.84
Books,412,1.0,0.86
Books,462,1.0,0.93
Home,290,1.0,0.78
Clothing,357,1.0,0.74
Electronics,183,1.0,0.88
Books,302,1.0,0.78
Books,243,1.0,0.8
Electronics,184,1.0,0.72
Home,129,1.0,0.84
Clothing,191,1.0,0.81
Clothing,302,1.0,0.74
Electronics,123,1.0,0.88
Home,93,1.0,0.84
Electronics,469,1.0,0.83
Books,260,1.0,0.88
Clothing,210,1.0,0.76
Electronics,477,1.0,0.79
Books,187,1.0,0.83
Clothing,59,1.0,0.8
Books,178,1.0,0.75
Home,332,1.0,0.8
Clothing,16,1.0,0.82
Electronics,263,1.0,0.79
Books,146,1.0,0.81
Books,82,1.0,0.86
Clothing,412,1.0,0.8
Electronics,82,1.0,0.74
